year,state,county,candidate,party,votes,total_county_votes
2008,Virginia,Loudoun,Other,NA,1278,139459
2008,Virginia,Louisa,Barack Obama,democrat,6978,15353
2008,Virginia,Louisa,John McCain,republican,8182,15353
2008,Virginia,Louisa,Other,NA,193,15353
2008,Virginia,Lunenburg,Barack Obama,democrat,2703,5650
2008,Virginia,Lunenburg,John McCain,republican,2900,5650
2008,Virginia,Lunenburg,Other,NA,47,5650
2008,Virginia,Madison,Barack Obama,democrat,2862,6699
2008,Virginia,Madison,John McCain,republican,3758,6699
2008,Virginia,Madison,Other,NA,79,6699
2008,Virginia,Mathews,Barack Obama,democrat,1934,5440
2008,Virginia,Mathews,John McCain,republican,3456,5440
2008,Virginia,Mathews,Other,NA,50,5440
2008,Virginia,Mecklenburg,Barack Obama,democrat,7127,15082
2008,Virginia,Mecklenburg,John McCain,republican,7817,15082
2008,Virginia,Mecklenburg,Other,NA,138,15082
2008,Virginia,Middlesex,Barack Obama,democrat,2391,6006
2008,Virginia,Middlesex,John McCain,republican,3545,6006
2008,Virginia,Middlesex,Other,NA,70,6006
2008,Virginia,Montgomery,Barack Obama,democrat,21031,40653
2008,Virginia,Montgomery,John McCain,republican,19028,40653
2008,Virginia,Montgomery,Other,NA,594,40653
2008,Virginia,Nelson,Barack Obama,democrat,4391,8133
2008,Virginia,Nelson,John McCain,republican,3647,8133
2008,Virginia,Nelson,Other,NA,95,8133
2008,Virginia,New Kent,Barack Obama,democrat,3493,9991
2008,Virginia,New Kent,John McCain,republican,6385,9991
2008,Virginia,New Kent,Other,NA,113,9991
2008,Virginia,Northampton,Barack Obama,democrat,3800,6586
2008,Virginia,Northampton,John McCain,republican,2713,6586
2008,Virginia,Northampton,Other,NA,73,6586
2008,Virginia,Northumberland,Barack Obama,democrat,3312,7406
2008,Virginia,Northumberland,John McCain,republican,4041,7406
2008,Virginia,Northumberland,Other,NA,53,7406
2008,Virginia,Nottoway,Barack Obama,democrat,3413,6988
2008,Virginia,Nottoway,John McCain,republican,3499,6988
2008,Virginia,Nottoway,Other,NA,76,6988
2008,Virginia,Orange,Barack Obama,democrat,7107,15801
2008,Virginia,Orange,John McCain,republican,8506,15801
2008,Virginia,Orange,Other,NA,188,15801
2008,Virginia,Page,Barack Obama,democrat,4235,10389
2008,Virginia,Page,John McCain,republican,6041,10389
2008,Virginia,Page,Other,NA,113,10389
2008,Virginia,Patrick,Barack Obama,democrat,2879,8531
2008,Virginia,Patrick,John McCain,republican,5491,8531
2008,Virginia,Patrick,Other,NA,161,8531
2008,Virginia,Pittsylvania,Barack Obama,democrat,11415,30433
2008,Virginia,Pittsylvania,John McCain,republican,18730,30433
2008,Virginia,Pittsylvania,Other,NA,288,30433
2008,Virginia,Powhatan,Barack Obama,democrat,4237,14456
2008,Virginia,Powhatan,John McCain,republican,10088,14456
2008,Virginia,Powhatan,Other,NA,131,14456
2008,Virginia,Prince Edward,Barack Obama,democrat,5101,9388
2008,Virginia,Prince Edward,John McCain,republican,4174,9388
2008,Virginia,Prince Edward,Other,NA,113,9388
2008,Virginia,Prince George,Barack Obama,democrat,7130,16006
2008,Virginia,Prince George,John McCain,republican,8752,16006
2008,Virginia,Prince George,Other,NA,124,16006
2008,Virginia,Prince William,Barack Obama,democrat,93435,162446
2008,Virginia,Prince William,John McCain,republican,67621,162446
2008,Virginia,Prince William,Other,NA,1390,162446
2008,Virginia,Pulaski,Barack Obama,democrat,5918,15050
2008,Virginia,Pulaski,John McCain,republican,8857,15050
2008,Virginia,Pulaski,Other,NA,275,15050
2008,Virginia,Rappahannock,Barack Obama,democrat,2105,4405
2008,Virginia,Rappahannock,John McCain,republican,2227,4405
2008,Virginia,Rappahannock,Other,NA,73,4405
2008,Virginia,Richmond,Barack Obama,democrat,1618,3745
2008,Virginia,Richmond,John McCain,republican,2092,3745
2008,Virginia,Richmond,Other,NA,35,3745
2008,Virginia,Roanoke,Barack Obama,democrat,19812,50975
2008,Virginia,Roanoke,John McCain,republican,30571,50975
2008,Virginia,Roanoke,Other,NA,592,50975
2008,Virginia,Rockbridge,Barack Obama,democrat,4347,10195
2008,Virginia,Rockbridge,John McCain,republican,5732,10195
2008,Virginia,Rockbridge,Other,NA,116,10195
2008,Virginia,Rockingham,Barack Obama,democrat,10453,33334
2008,Virginia,Rockingham,John McCain,republican,22468,33334
2008,Virginia,Rockingham,Other,NA,413,33334
2008,Virginia,Russell,Barack Obama,democrat,4932,11494
2008,Virginia,Russell,John McCain,republican,6389,11494
2008,Virginia,Russell,Other,NA,173,11494
2008,Virginia,Scott,Barack Obama,democrat,2725,9875
2008,Virginia,Scott,John McCain,republican,6980,9875
2008,Virginia,Scott,Other,NA,170,9875
2008,Virginia,Shenandoah,Barack Obama,democrat,6912,19223
2008,Virginia,Shenandoah,John McCain,republican,12005,19223
2008,Virginia,Shenandoah,Other,NA,306,19223
2008,Virginia,Smyth,Barack Obama,democrat,4239,12302
2008,Virginia,Smyth,John McCain,republican,7817,12302
2008,Virginia,Smyth,Other,NA,246,12302
2008,Virginia,Southampton,Barack Obama,democrat,4402,9067
2008,Virginia,Southampton,John McCain,republican,4583,9067
2008,Virginia,Southampton,Other,NA,82,9067
2008,Virginia,Spotsylvania,Barack Obama,democrat,24897,54069
2008,Virginia,Spotsylvania,John McCain,republican,28610,54069
2008,Virginia,Spotsylvania,Other,NA,562,54069
2008,Virginia,Stafford,Barack Obama,democrat,25716,55455
2008,Virginia,Stafford,John McCain,republican,29221,55455
2008,Virginia,Stafford,Other,NA,518,55455
2008,Virginia,Surry,Barack Obama,democrat,2626,4325
2008,Virginia,Surry,John McCain,republican,1663,4325
2008,Virginia,Surry,Other,NA,36,4325
2008,Virginia,Sussex,Barack Obama,democrat,3301,5363
2008,Virginia,Sussex,John McCain,republican,2026,5363
2008,Virginia,Sussex,Other,NA,36,5363
2008,Virginia,Tazewell,Barack Obama,democrat,5596,17061
2008,Virginia,Tazewell,John McCain,republican,11201,17061
2008,Virginia,Tazewell,Other,NA,264,17061
2008,Virginia,Warren,Barack Obama,democrat,6997,16126
2008,Virginia,Warren,John McCain,republican,8879,16126
2008,Virginia,Warren,Other,NA,250,16126
2008,Virginia,Washington,Barack Obama,democrat,8063,24500
2008,Virginia,Washington,John McCain,republican,16077,24500
2008,Virginia,Washington,Other,NA,360,24500
2008,Virginia,Westmoreland,Barack Obama,democrat,4577,8377
2008,Virginia,Westmoreland,John McCain,republican,3719,8377
2008,Virginia,Westmoreland,Other,NA,81,8377
2008,Virginia,Wise,Barack Obama,democrat,4995,14138
2008,Virginia,Wise,John McCain,republican,8914,14138
2008,Virginia,Wise,Other,NA,229,14138
2008,Virginia,Wythe,Barack Obama,democrat,4107,12491
2008,Virginia,Wythe,John McCain,republican,8207,12491
2008,Virginia,Wythe,Other,NA,177,12491
2008,Virginia,York,Barack Obama,democrat,13700,33897
2008,Virginia,York,John McCain,republican,19833,33897
2008,Virginia,York,Other,NA,364,33897
2008,Virginia,Alexandria,Barack Obama,democrat,50473,70364
2008,Virginia,Alexandria,John McCain,republican,19181,70364
2008,Virginia,Alexandria,Other,NA,710,70364
2008,Virginia,Bedford,Barack Obama,democrat,1208,2734
2008,Virginia,Bedford,John McCain,republican,1497,2734
2008,Virginia,Bedford,Other,NA,29,2734
2008,Virginia,Bristol,Barack Obama,democrat,2665,7359
2008,Virginia,Bristol,John McCain,republican,4579,7359
2008,Virginia,Bristol,Other,NA,115,7359
2008,Virginia,Buena Vista,Barack Obama,democrat,1108,2423
2008,Virginia,Buena Vista,John McCain,republican,1282,2423
2008,Virginia,Buena Vista,Other,NA,33,2423
2008,Virginia,Charlottesville,Barack Obama,democrat,15705,20044
2008,Virginia,Charlottesville,John McCain,republican,4078,20044
2008,Virginia,Charlottesville,Other,NA,261,20044
2008,Virginia,Chesapeake,Barack Obama,democrat,53994,107521
2008,Virginia,Chesapeake,John McCain,republican,52625,107521
2008,Virginia,Chesapeake,Other,NA,902,107521
2008,Virginia,Colonial Heights,Barack Obama,democrat,2562,8849
2008,Virginia,Colonial Heights,John McCain,republican,6161,8849
2008,Virginia,Colonial Heights,Other,NA,126,8849
2008,Virginia,Covington,Barack Obama,democrat,1304,2354
2008,Virginia,Covington,John McCain,republican,1020,2354
2008,Virginia,Covington,Other,NA,30,2354
2008,Virginia,Danville,Barack Obama,democrat,12352,20890
2008,Virginia,Danville,John McCain,republican,8361,20890
2008,Virginia,Danville,Other,NA,177,20890
2008,Virginia,Emporia,Barack Obama,democrat,1702,2617
2008,Virginia,Emporia,John McCain,republican,897,2617
2008,Virginia,Emporia,Other,NA,18,2617
2008,Virginia,Fairfax,Barack Obama,democrat,6575,11398
2008,Virginia,Fairfax,John McCain,republican,4691,11398
2008,Virginia,Fairfax,Other,NA,132,11398
2008,Virginia,Falls Church,Barack Obama,democrat,4695,6750
2008,Virginia,Falls Church,John McCain,republican,1970,6750
2008,Virginia,Falls Church,Other,NA,85,6750
2008,Virginia,Franklin,Barack Obama,democrat,2819,4427
2008,Virginia,Franklin,John McCain,republican,1576,4427
2008,Virginia,Franklin,Other,NA,32,4427
2008,Virginia,Fredericksburg,Barack Obama,democrat,6155,9677
2008,Virginia,Fredericksburg,John McCain,republican,3413,9677
2008,Virginia,Fredericksburg,Other,NA,109,9677
2008,Virginia,Galax,Barack Obama,democrat,1052,2402
2008,Virginia,Galax,John McCain,republican,1317,2402
2008,Virginia,Galax,Other,NA,33,2402
2008,Virginia,Hampton,Barack Obama,democrat,46917,67943
2008,Virginia,Hampton,John McCain,republican,20476,67943
2008,Virginia,Hampton,Other,NA,550,67943
2008,Virginia,Harrisonburg,Barack Obama,democrat,8444,14675
2008,Virginia,Harrisonburg,John McCain,republican,6048,14675
2008,Virginia,Harrisonburg,Other,NA,183,14675
2008,Virginia,Hopewell,Barack Obama,democrat,5285,9524
2008,Virginia,Hopewell,John McCain,republican,4149,9524
2008,Virginia,Hopewell,Other,NA,90,9524
2008,Virginia,Lexington,Barack Obama,democrat,1543,2479
2008,Virginia,Lexington,John McCain,republican,914,2479
2008,Virginia,Lexington,Other,NA,22,2479
2008,Virginia,Lynchburg,Barack Obama,democrat,16269,34341
2008,Virginia,Lynchburg,John McCain,republican,17638,34341
2008,Virginia,Lynchburg,Other,NA,434,34341
2008,Virginia,Manassas,Barack Obama,democrat,7518,13627
2008,Virginia,Manassas,John McCain,republican,5975,13627
2008,Virginia,Manassas,Other,NA,134,13627
2008,Virginia,Manassas Park,Barack Obama,democrat,2463,4140
2008,Virginia,Manassas Park,John McCain,republican,1634,4140
2008,Virginia,Manassas Park,Other,NA,43,4140
2008,Virginia,Martinsville,Barack Obama,democrat,4139,6520
2008,Virginia,Martinsville,John McCain,republican,2311,6520
2008,Virginia,Martinsville,Other,NA,70,6520
2008,Virginia,Newport News,Barack Obama,democrat,51972,81295
2008,Virginia,Newport News,John McCain,republican,28667,81295
2008,Virginia,Newport News,Other,NA,656,81295
2008,Virginia,Norfolk,Barack Obama,democrat,62819,88446
2008,Virginia,Norfolk,John McCain,republican,24814,88446
2008,Virginia,Norfolk,Other,NA,813,88446
2008,Virginia,Norton,Barack Obama,democrat,743,1512
2008,Virginia,Norton,John McCain,republican,744,1512
2008,Virginia,Norton,Other,NA,25,1512
2008,Virginia,Petersburg,Barack Obama,democrat,13774,15540
2008,Virginia,Petersburg,John McCain,republican,1583,15540
2008,Virginia,Petersburg,Other,NA,183,15540
2008,Virginia,Poquoson,Barack Obama,democrat,1748,7065
2008,Virginia,Poquoson,John McCain,republican,5229,7065
2008,Virginia,Poquoson,Other,NA,88,7065
2008,Virginia,Portsmouth,Barack Obama,democrat,32327,46665
2008,Virginia,Portsmouth,John McCain,republican,13984,46665
2008,Virginia,Portsmouth,Other,NA,354,46665
2008,Virginia,Radford,Barack Obama,democrat,2930,5429
2008,Virginia,Radford,John McCain,republican,2418,5429
2008,Virginia,Radford,Other,NA,81,5429
2008,Virginia,Richmond,Barack Obama,democrat,73623,93085
2008,Virginia,Richmond,John McCain,republican,18649,93085
2008,Virginia,Richmond,Other,NA,813,93085
2008,Virginia,Roanoke,Barack Obama,democrat,24934,40772
2008,Virginia,Roanoke,John McCain,republican,15394,40772
2008,Virginia,Roanoke,Other,NA,444,40772
2008,Virginia,Salem,Barack Obama,democrat,5164,12406
2008,Virginia,Salem,John McCain,republican,7088,12406
2008,Virginia,Salem,Other,NA,154,12406
2008,Virginia,Staunton,Barack Obama,democrat,5569,11015
2008,Virginia,Staunton,John McCain,republican,5330,11015
2008,Virginia,Staunton,Other,NA,116,11015
2008,Virginia,Suffolk,Barack Obama,democrat,22446,39908
2008,Virginia,Suffolk,John McCain,republican,17165,39908
2008,Virginia,Suffolk,Other,NA,297,39908
2008,Virginia,Virginia Beach,Barack Obama,democrat,98885,201249
2008,Virginia,Virginia Beach,John McCain,republican,100319,201249
2008,Virginia,Virginia Beach,Other,NA,2045,201249
2008,Virginia,Waynesboro,Barack Obama,democrat,3906,8860
2008,Virginia,Waynesboro,John McCain,republican,4815,8860
2008,Virginia,Waynesboro,Other,NA,139,8860
2008,Virginia,Williamsburg,Barack Obama,democrat,4328,6787
2008,Virginia,Williamsburg,John McCain,republican,2353,6787
2008,Virginia,Williamsburg,Other,NA,106,6787
2008,Virginia,Winchester,Barack Obama,democrat,5268,10126
2008,Virginia,Winchester,John McCain,republican,4725,10126
2008,Virginia,Winchester,Other,NA,133,10126
2008,Washington,Adams,Barack Obama,democrat,1552,4858
2008,Washington,Adams,John McCain,republican,3222,4858
2008,Washington,Adams,Other,NA,84,4858
2008,Washington,Asotin,Barack Obama,democrat,4139,9780
2008,Washington,Asotin,John McCain,republican,5451,9780
2008,Washington,Asotin,Other,NA,190,9780
2008,Washington,Benton,Barack Obama,democrat,26288,72911
2008,Washington,Benton,John McCain,republican,45345,72911
2008,Washington,Benton,Other,NA,1278,72911
2008,Washington,Chelan,Barack Obama,democrat,13781,31958
2008,Washington,Chelan,John McCain,republican,17605,31958
2008,Washington,Chelan,Other,NA,572,31958
2008,Washington,Clallam,Barack Obama,democrat,19470,38519
2008,Washington,Clallam,John McCain,republican,18199,38519
2008,Washington,Clallam,Other,NA,850,38519
2008,Washington,Clark,Barack Obama,democrat,95356,182764
2008,Washington,Clark,John McCain,republican,84212,182764
2008,Washington,Clark,Other,NA,3196,182764
2008,Washington,Columbia,Barack Obama,democrat,686,2228
2008,Washington,Columbia,John McCain,republican,1499,2228
2008,Washington,Columbia,Other,NA,43,2228
2008,Washington,Cowlitz,Barack Obama,democrat,24597,45229
2008,Washington,Cowlitz,John McCain,republican,19554,45229
2008,Washington,Cowlitz,Other,NA,1078,45229
2008,Washington,Douglas,Barack Obama,democrat,5848,15209
2008,Washington,Douglas,John McCain,republican,9098,15209
2008,Washington,Douglas,Other,NA,263,15209
2008,Washington,Ferry,Barack Obama,democrat,1467,3501
2008,Washington,Ferry,John McCain,republican,1916,3501
2008,Washington,Ferry,Other,NA,118,3501
2008,Washington,Franklin,Barack Obama,democrat,7361,19696
2008,Washington,Franklin,John McCain,republican,12037,19696
2008,Washington,Franklin,Other,NA,298,19696
2008,Washington,Garfield,Barack Obama,democrat,385,1373
2008,Washington,Garfield,John McCain,republican,968,1373
2008,Washington,Garfield,Other,NA,20,1373
2008,Washington,Grant,Barack Obama,democrat,9601,27438
2008,Washington,Grant,John McCain,republican,17153,27438
2008,Washington,Grant,Other,NA,684,27438
2008,Washington,Grays Harbor,Barack Obama,democrat,16354,29184
2008,Washington,Grays Harbor,John McCain,republican,12104,29184
2008,Washington,Grays Harbor,Other,NA,726,29184
2008,Washington,Island,Barack Obama,democrat,22058,42159
2008,Washington,Island,John McCain,republican,19426,42159
2008,Washington,Island,Other,NA,675,42159
2008,Washington,Jefferson,Barack Obama,democrat,13252,19991
2008,Washington,Jefferson,John McCain,republican,6330,19991
2008,Washington,Jefferson,Other,NA,409,19991
2008,Washington,King,Barack Obama,democrat,648230,922032
2008,Washington,King,John McCain,republican,259716,922032
2008,Washington,King,Other,NA,14086,922032
2008,Washington,Kitsap,Barack Obama,democrat,68624,124337
2008,Washington,Kitsap,John McCain,republican,53297,124337
2008,Washington,Kitsap,Other,NA,2416,124337
2008,Washington,Kittitas,Barack Obama,democrat,8030,17868
2008,Washington,Kittitas,John McCain,republican,9471,17868
2008,Washington,Kittitas,Other,NA,367,17868
2008,Washington,Klickitat,Barack Obama,democrat,4965,10164
2008,Washington,Klickitat,John McCain,republican,4944,10164
2008,Washington,Klickitat,Other,NA,255,10164
2008,Washington,Lewis,Barack Obama,democrat,13624,34705
2008,Washington,Lewis,John McCain,republican,20278,34705
2008,Washington,Lewis,Other,NA,803,34705
2008,Washington,Lincoln,Barack Obama,democrat,2032,5977
2008,Washington,Lincoln,John McCain,republican,3803,5977
2008,Washington,Lincoln,Other,NA,142,5977
2008,Washington,Mason,Barack Obama,democrat,15050,28306
2008,Washington,Mason,John McCain,republican,12600,28306
2008,Washington,Mason,Other,NA,656,28306
2008,Washington,Okanogan,Barack Obama,democrat,7613,16870
2008,Washington,Okanogan,John McCain,republican,8798,16870
2008,Washington,Okanogan,Other,NA,459,16870
2008,Washington,Pacific,Barack Obama,democrat,6094,10937
2008,Washington,Pacific,John McCain,republican,4555,10937
2008,Washington,Pacific,Other,NA,288,10937
2008,Washington,Pend Oreille,Barack Obama,democrat,2562,6552
2008,Washington,Pend Oreille,John McCain,republican,3717,6552
2008,Washington,Pend Oreille,Other,NA,273,6552
2008,Washington,Pierce,Barack Obama,democrat,181824,329520
2008,Washington,Pierce,John McCain,republican,141673,329520
2008,Washington,Pierce,Other,NA,6023,329520
2008,Washington,San Juan,Barack Obama,democrat,7374,10531
2008,Washington,San Juan,John McCain,republican,2958,10531
2008,Washington,San Juan,Other,NA,199,10531
2008,Washington,Skagit,Barack Obama,democrat,30053,55886
2008,Washington,Skagit,John McCain,republican,24687,55886
2008,Washington,Skagit,Other,NA,1146,55886
2008,Washington,Skamania,Barack Obama,democrat,2817,5490
2008,Washington,Skamania,John McCain,republican,2524,5490
2008,Washington,Skamania,Other,NA,149,5490
2008,Washington,Snohomish,Barack Obama,democrat,187294,320333
2008,Washington,Snohomish,John McCain,republican,126722,320333
2008,Washington,Snohomish,Other,NA,6317,320333
2008,Washington,Spokane,Barack Obama,democrat,105786,219511
2008,Washington,Spokane,John McCain,republican,108314,219511
2008,Washington,Spokane,Other,NA,5411,219511
2008,Washington,Stevens,Barack Obama,democrat,8499,22341
2008,Washington,Stevens,John McCain,republican,13132,22341
2008,Washington,Stevens,Other,NA,710,22341
2008,Washington,Thurston,Barack Obama,democrat,75882,126709
2008,Washington,Thurston,John McCain,republican,48366,126709
2008,Washington,Thurston,Other,NA,2461,126709
2008,Washington,Wahkiakum,Barack Obama,democrat,1121,2294
2008,Washington,Wahkiakum,John McCain,republican,1105,2294
2008,Washington,Wahkiakum,Other,NA,68,2294
2008,Washington,Walla Walla,Barack Obama,democrat,10081,24727
2008,Washington,Walla Walla,John McCain,republican,14182,24727
2008,Washington,Walla Walla,Other,NA,464,24727
2008,Washington,Whatcom,Barack Obama,democrat,58236,100339
2008,Washington,Whatcom,John McCain,republican,40205,100339
2008,Washington,Whatcom,Other,NA,1898,100339
2008,Washington,Whitman,Barack Obama,democrat,9070,17589
2008,Washington,Whitman,John McCain,republican,8104,17589
2008,Washington,Whitman,Other,NA,415,17589
2008,Washington,Yakima,Barack Obama,democrat,33792,77062
2008,Washington,Yakima,John McCain,republican,41946,77062
2008,Washington,Yakima,Other,NA,1324,77062
2008,West Virginia,Barbour,Barack Obama,democrat,2419,6232
2008,West Virginia,Barbour,John McCain,republican,3685,6232
2008,West Virginia,Barbour,Other,NA,128,6232
2008,West Virginia,Berkeley,Barack Obama,democrat,15994,37292
2008,West Virginia,Berkeley,John McCain,republican,20841,37292
2008,West Virginia,Berkeley,Other,NA,457,37292
2008,West Virginia,Boone,Barack Obama,democrat,4529,8370
2008,West Virginia,Boone,John McCain,republican,3632,8370
2008,West Virginia,Boone,Other,NA,209,8370
2008,West Virginia,Braxton,Barack Obama,democrat,2704,5409
2008,West Virginia,Braxton,John McCain,republican,2629,5409
2008,West Virginia,Braxton,Other,NA,76,5409
2008,West Virginia,Brooke,Barack Obama,democrat,4717,9857
2008,West Virginia,Brooke,John McCain,republican,4961,9857
2008,West Virginia,Brooke,Other,NA,179,9857
2008,West Virginia,Cabell,Barack Obama,democrat,15292,34592
2008,West Virginia,Cabell,John McCain,republican,18793,34592
2008,West Virginia,Cabell,Other,NA,507,34592
2008,West Virginia,Calhoun,Barack Obama,democrat,993,2429
2008,West Virginia,Calhoun,John McCain,republican,1366,2429
2008,West Virginia,Calhoun,Other,NA,70,2429
2008,West Virginia,Clay,Barack Obama,democrat,1421,3265
2008,West Virginia,Clay,John McCain,republican,1755,3265
2008,West Virginia,Clay,Other,NA,89,3265
2008,West Virginia,Doddridge,Barack Obama,democrat,735,3018
2008,West Virginia,Doddridge,John McCain,republican,2218,3018
2008,West Virginia,Doddridge,Other,NA,65,3018
2008,West Virginia,Fayette,Barack Obama,democrat,7242,15194
2008,West Virginia,Fayette,John McCain,republican,7658,15194
2008,West Virginia,Fayette,Other,NA,294,15194
2008,West Virginia,Gilmer,Barack Obama,democrat,1004,2521
2008,West Virginia,Gilmer,John McCain,republican,1445,2521
2008,West Virginia,Gilmer,Other,NA,72,2521
2008,West Virginia,Grant,Barack Obama,democrat,997,4218
2008,West Virginia,Grant,John McCain,republican,3166,4218
2008,West Virginia,Grant,Other,NA,55,4218
2008,West Virginia,Greenbrier,Barack Obama,democrat,5881,13732
2008,West Virginia,Greenbrier,John McCain,republican,7567,13732
2008,West Virginia,Greenbrier,Other,NA,284,13732
2008,West Virginia,Hampshire,Barack Obama,democrat,2983,8347
2008,West Virginia,Hampshire,John McCain,republican,5222,8347
2008,West Virginia,Hampshire,Other,NA,142,8347
2008,West Virginia,Hancock,Barack Obama,democrat,5504,13220
2008,West Virginia,Hancock,John McCain,republican,7518,13220
2008,West Virginia,Hancock,Other,NA,198,13220
2008,West Virginia,Hardy,Barack Obama,democrat,1901,5407
2008,West Virginia,Hardy,John McCain,republican,3376,5407
2008,West Virginia,Hardy,Other,NA,130,5407
2008,West Virginia,Harrison,Barack Obama,democrat,13582,31872
2008,West Virginia,Harrison,John McCain,republican,17824,31872
2008,West Virginia,Harrison,Other,NA,466,31872
2008,West Virginia,Jackson,Barack Obama,democrat,4861,12236
2008,West Virginia,Jackson,John McCain,republican,7148,12236
2008,West Virginia,Jackson,Other,NA,227,12236
2008,West Virginia,Jefferson,Barack Obama,democrat,11687,22545
2008,West Virginia,Jefferson,John McCain,republican,10600,22545
2008,West Virginia,Jefferson,Other,NA,258,22545
2008,West Virginia,Kanawha,Barack Obama,democrat,40594,82484
2008,West Virginia,Kanawha,John McCain,republican,40952,82484
2008,West Virginia,Kanawha,Other,NA,938,82484
2008,West Virginia,Lewis,Barack Obama,democrat,2109,6606
2008,West Virginia,Lewis,John McCain,republican,4335,6606
2008,West Virginia,Lewis,Other,NA,162,6606
2008,West Virginia,Lincoln,Barack Obama,democrat,3029,6835
2008,West Virginia,Lincoln,John McCain,republican,3637,6835
2008,West Virginia,Lincoln,Other,NA,169,6835
2008,West Virginia,Logan,Barack Obama,democrat,5873,13465
2008,West Virginia,Logan,John McCain,republican,7326,13465
2008,West Virginia,Logan,Other,NA,266,13465
2008,West Virginia,McDowell,Barack Obama,democrat,3430,6430
2008,West Virginia,McDowell,John McCain,republican,2882,6430
2008,West Virginia,McDowell,Other,NA,118,6430
2008,West Virginia,Marion,Barack Obama,democrat,11618,23607
2008,West Virginia,Marion,John McCain,republican,11501,23607
2008,West Virginia,Marion,Other,NA,488,23607
2008,West Virginia,Marshall,Barack Obama,democrat,5996,14001
2008,West Virginia,Marshall,John McCain,republican,7759,14001
2008,West Virginia,Marshall,Other,NA,246,14001
2008,West Virginia,Mason,Barack Obama,democrat,4484,10603
2008,West Virginia,Mason,John McCain,republican,5853,10603
2008,West Virginia,Mason,Other,NA,266,10603
2008,West Virginia,Mercer,Barack Obama,democrat,7450,21022
2008,West Virginia,Mercer,John McCain,republican,13246,21022
2008,West Virginia,Mercer,Other,NA,326,21022
2008,West Virginia,Mineral,Barack Obama,democrat,3750,11547
2008,West Virginia,Mineral,John McCain,republican,7616,11547
2008,West Virginia,Mineral,Other,NA,181,11547
2008,West Virginia,Mingo,Barack Obama,democrat,3582,8338
2008,West Virginia,Mingo,John McCain,republican,4587,8338
2008,West Virginia,Mingo,Other,NA,169,8338
2008,West Virginia,Monongalia,Barack Obama,democrat,17060,33379
2008,West Virginia,Monongalia,John McCain,republican,15775,33379
2008,West Virginia,Monongalia,Other,NA,544,33379
2008,West Virginia,Monroe,Barack Obama,democrat,2014,5575
2008,West Virginia,Monroe,John McCain,republican,3397,5575
2008,West Virginia,Monroe,Other,NA,164,5575
2008,West Virginia,Morgan,Barack Obama,democrat,2721,7276
2008,West Virginia,Morgan,John McCain,republican,4428,7276
2008,West Virginia,Morgan,Other,NA,127,7276
2008,West Virginia,Nicholas,Barack Obama,democrat,4357,9361
2008,West Virginia,Nicholas,John McCain,republican,4804,9361
2008,West Virginia,Nicholas,Other,NA,200,9361
2008,West Virginia,Ohio,Barack Obama,democrat,8593,19540
2008,West Virginia,Ohio,John McCain,republican,10694,19540
2008,West Virginia,Ohio,Other,NA,253,19540
2008,West Virginia,Pendleton,Barack Obama,democrat,1310,3395
2008,West Virginia,Pendleton,John McCain,republican,2035,3395
2008,West Virginia,Pendleton,Other,NA,50,3395
2008,West Virginia,Pleasants,Barack Obama,democrat,1142,2975
2008,West Virginia,Pleasants,John McCain,republican,1772,2975
2008,West Virginia,Pleasants,Other,NA,61,2975
2008,West Virginia,Pocahontas,Barack Obama,democrat,1548,3642
2008,West Virginia,Pocahontas,John McCain,republican,2011,3642
2008,West Virginia,Pocahontas,Other,NA,83,3642
2008,West Virginia,Preston,Barack Obama,democrat,4205,11796
2008,West Virginia,Preston,John McCain,republican,7325,11796
2008,West Virginia,Preston,Other,NA,266,11796
2008,West Virginia,Putnam,Barack Obama,democrat,9334,24780
2008,West Virginia,Putnam,John McCain,republican,15162,24780
2008,West Virginia,Putnam,Other,NA,284,24780
2008,West Virginia,Raleigh,Barack Obama,democrat,10237,28259
2008,West Virginia,Raleigh,John McCain,republican,17548,28259
2008,West Virginia,Raleigh,Other,NA,474,28259
2008,West Virginia,Randolph,Barack Obama,democrat,4539,10833
2008,West Virginia,Randolph,John McCain,republican,6060,10833
2008,West Virginia,Randolph,Other,NA,234,10833
2008,West Virginia,Ritchie,Barack Obama,democrat,998,3846
2008,West Virginia,Ritchie,John McCain,republican,2781,3846
2008,West Virginia,Ritchie,Other,NA,67,3846
2008,West Virginia,Roane,Barack Obama,democrat,2511,5563
2008,West Virginia,Roane,John McCain,republican,2943,5563
2008,West Virginia,Roane,Other,NA,109,5563
2008,West Virginia,Summers,Barack Obama,democrat,2290,5316
2008,West Virginia,Summers,John McCain,republican,2891,5316
2008,West Virginia,Summers,Other,NA,135,5316
2008,West Virginia,Taylor,Barack Obama,democrat,2462,6203
2008,West Virginia,Taylor,John McCain,republican,3605,6203
2008,West Virginia,Taylor,Other,NA,136,6203
2008,West Virginia,Tucker,Barack Obama,democrat,1288,3507
2008,West Virginia,Tucker,John McCain,republican,2123,3507
2008,West Virginia,Tucker,Other,NA,96,3507
2008,West Virginia,Tyler,Barack Obama,democrat,1241,3741
2008,West Virginia,Tyler,John McCain,republican,2415,3741
2008,West Virginia,Tyler,Other,NA,85,3741
2008,West Virginia,Upshur,Barack Obama,democrat,2925,8971
2008,West Virginia,Upshur,John McCain,republican,5911,8971
2008,West Virginia,Upshur,Other,NA,135,8971
